"sheets.players.Rank","sheets.players.Last.year","sheets.players.Up.or.down","sheets.players.Name","sheets.players.Position","sheets.players.Position.modifier","sheets.players.Club.on.20.Dec.2020","sheets.players.League","sheets.players.Age.on.20.Dec.2020","sheets.players.Nationality","sheets.players.Filters","sheets.players.Image.found","sheets.players.Video.Path","sheets.players.Facewall.cell.image.GRID.src","sheets.players.Facewall.cell.image.GRID.attributes","sheets.players.Facewall.main.image.GRID.src","sheets.players.Facewall.main.image.GRID.attributes","sheets.players.","sheets.players.Profile","sheets.players.Writer","sheets.players.Desked.by","sheets.players.To.be.subbed.by","sheets.players.Subbed","sheets.players.Revised","sheets.furniture.headline","sheets.furniture.standfirst","sheets.furniture.pagestrap","sheets.furniture.shareurl"
"1","7","6","Robert Lewandowski","Forward","CENTRE","Bayern Munich","Germany","32","Poland","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/4a7cf4de62d3e7199ab0c62d184ecee085297c33/1530_0_1970_1970","cropRatio=1970,1970&size=140,500,1000,1970","https://media.guim.co.uk/b16aaf102c89fa6ce96f79086e9048be3c9eb3f5/0_71_1513_908","cropRatio=1513,908&size=140,500,1000,1513","","Some will mourn the end of the Lionel Messi and Cristiano Ronaldo era but it’s really a segue into a new one, of the centre-forward who further excels in his 30s – led by Lewandowski, who is indisputably improving. His numbers are incredible; he finished 2019-20 with 55 goals in 47 club matches for Bayern Munich, and became only the second player to finish top scorer in all three competitions of a treble season after Johan Cruyff for Ajax in 1972. Later he moved into third on the Champions League all-time scorers’ list, level with Raúl. Yet when his coach Hansi Flick says “he’s in the form of his life”, he doesn’t just mean the goals. The 32-year-old Lewandowski still relishes the physical battle of being a No 9 and is a talisman for his younger teammates. With him set to dominate for years to come, Bayern may well do so too. ","Andy Brassell","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"2","1","-1","Lionel Messi","Forward","CENTRE","Barcelona","Spain","33","Argentina","Argentinian, La Liga, Forwards","","","https://media.guim.co.uk/8c7e8f464844e3e52c2fc0e95fe61d6f7a8cf483/2029_53_1519_1519","cropRatio=1519,1519&size=140,500,1000,1519","https://media.guim.co.uk/f8ba3e13caceff1db8e8d619b31b5740b32a9d56/0_211_3668_2201","cropRatio=3668,2201&size=140,500,1000,2000,3668","","2020 was a Bad Year for Lionel Messi. Last season was about the worst he’s ever had, one in which he scored more goals, created more chances, completed more dribbles and provided more assists than anyone in Spain. Welcome to the absurdity of the outlier on every graph, the man whose career created a new category of footballing classification: “Apart from Messi.” In his worst year – <a href=""https://www.theguardian.com/football/2020/aug/25/lionel-messi-tells-barcelona-he-wants-to-leave-but-faces-legal-battle-over-clause"">so bad he wanted out</a> – he finished 400 points ahead of third and 238 of our 241 judges included him. (And, no, we’re not telling you who the three are). Yet there’s no escaping the truth: in 2020 Messi really wasn’t <italics>that</italics> good, rightly falls well below Lewandowski and even second might be too high, his inclusion partly a product of habit now. Not where he wants to be, in any sense, it’s hard to escape the sadness, the frustration and the fear that the end is nigh.   ","Sid Lowe","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"3","4","1","Cristiano Ronaldo","Forward","LEFT","Juventus","Italy","35","Portugal","Other nationalities, Serie A, Forwards","","","https://media.guim.co.uk/b88732250fd90ab321d6f8427d2fed5c6ac2fa41/0_0_2359_2357","cropRatio=2359,2357&size=140,500,1000,2000,2359","https://media.guim.co.uk/7c08567cb882324c62fbe21efb9f597901c09015/0_146_3500_2101","cropRatio=3500,2101&size=140,500,1000,2000,3500","","By the standards of one of the greatest footballers ever, this was a forgettable year. Ronaldo picked up his <a href=""https://www.theguardian.com/football/2020/jul/27/maurizio-sarri-serie-a-title-juventus-win-convince-scudetto"">second Serie A winners’ medal</a> – a minimum expectation while playing for a team that have won the league nine seasons running – and not a lot else, as Juventus lost a Coppa Italia final and exited the Champions League in the last 16. The Ballon d’Or was cancelled, but Ronaldo failed even to win the Italian top flight’s MVP. Yet this was still a year when he equalled a Serie A record by scoring in 11 consecutive league games and a year when he notched his 100th (<a href=""https://www.theguardian.com/football/blog/2020/sep/12/cristiano-ronaldos-101-portugal-goals-a-product-of-unceasing-appetite"">and 101st</a>) goal for Portugal, becoming the first European men’s player ever to hit that landmark in internationals. Only three of our judges had him as the world’s best player – down from 11 in 2019 – but the consensus ranking speaks to how many ballots placed him very close indeed.","Nicky Bandini","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"4","12","8","Kevin De Bruyne","Midfielder","CENTRE","Manchester City","England","29","Belgium","Belgian, Premier League, Midfielders","","","https://media.guim.co.uk/70884f28f4c0bebea30101b794c46f6dddc1985d/1618_56_1788_1788","cropRatio=1788,1788&size=140,500,1000,1788","https://media.guim.co.uk/ab50ac60df2610b75515a70fc22cc7a7cffda944/0_88_3794_2276","cropRatio=3794,2276&size=140,500,1000,2000,3794","","Missed a penalty <a href=""https://www.theguardian.com/football/2020/nov/08/manchester-city-liverpool-premier-league-match-report"">against Liverpool in November</a> and the nation was shocked, accustomed as it is to near perfection from Belgium's top performer. As a Manchester City player De Bruyne will not have enjoyed 2020 as much as the two years that preceded it, though he remains by some distance the side's most creative and consistent influence. At least he does in theory. A relatively quiet end to the year – he was all but anonymous in <a href=""https://www.theguardian.com/football/2020/dec/12/manchester-united-manchester-city-premier-league-match-report"">the sterile Manchester derby this month</a> – has led to renewed accusations that De Bruyne goes missing against the big teams in a way that rarely happens with Lionel Messi or Cristiano Ronaldo. While the suggestion that De Bruyne is the football equivalent of a flat-track bully might be criticism at the very highest level, anyone who has seen what he can do knows that is precisely where he belongs. ","Paul Wilson","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"5","3","-2","Sadio Mané","Forward","LEFT","Liverpool","England","28","Senegal","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/d6bc11fa7bc400594035352e54f21abf15378ff8/1135_65_2071_2070","cropRatio=2071,2070&size=140,500,1000,2000,2071","https://media.guim.co.uk/59afff7ca9be00f5bfb56f65b4dd526d0d4d334b/0_269_5182_3110","cropRatio=5182,3110&size=140,500,1000,2000,5182","","A fall of two places is difficult to comprehend given that the Senegal international continued his development into one of the most dangerous forwards in the game during 2020. His contribution to Liverpool's first league title success for 30 years is reflected, however, in his position as the highest-ranked player from Jürgen Klopp's team. Mané managed to eclipse the outstanding Mohamed Salah and Roberto Firmino last season as Liverpool claimed the Club World Cup and Premier League titles. The 28-year-old scored 18 goals and provided seven assists as Liverpool claimed their long-awaited 19th league championship with considerable ease, although statistics alone do not measure Mané's importance. He scored critical goals, such as <a href=""https://www.theguardian.com/football/2019/nov/02/aston-villa-liverpool-premier-league-match-report"">the last-minute winner at Aston Villa</a> that opened a decisive gap in the title race as early as November last year, tormented defenders and epitomised the focus, class and industry of Klopp's team. He was also <a href=""https://www.theguardian.com/football/2020/jan/07/liverpools-sadio-mane-named-african-footballer-of-the-year-for-first-time"">named African Footballer of the Year</a> for the first time in January.","Andy Hunter","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"6","53","47","Erling Braut Haaland","Forward","CENTRE","Borussia Dortmund","Germany","20","Norway","Other nationalities, Bundesliga, Forwards","","","https://media.guim.co.uk/1e6d6a568b237756dd37583e7faeda9ffb569316/357_72_627_627","cropRatio=627,627&size=140,500,627","https://media.guim.co.uk/96ed4d1b724642796cf86ddc82a89238a03bd3e1/0_60_3708_2225","cropRatio=3708,2225&size=140,500,1000,2000,3708","","Some eyebrows may be raised at Haaland figuring as high as sixth on our list, one place (and a mere 14 points) above Kylian Mbappé but the Norwegian’s 2020 has been nothing short of sensational. This time last year Haaland was still a Red Bull Salzburg player. Sure, he had already scored eight Champions League goals for the Austrian side during the 2019-20 group stage but no one could have anticipated he would settle so quickly at Borussia Dortmund, whom he joined on 1 January. Haaland’s debut for Dortmund came against Augsburg and he <a href=""https://www.theguardian.com/football/2020/jan/18/european-football-roundup-borussia-dortmund-augsburg-erling-haaland-lazio-sampdoria"">promptly scored a 23-minute hat-trick</a> after coming off the bench. He then scored a double in his next two Bundesliga games, against Cologne and Union Berlin, and has not looked back. By mid-December he had 33 goals in 32 games for Dortmund. ""The most frightening thing,"" Lucien Favre said after Haaland’s debut, ""is that he is only going to get better.""","Marcus Christenson","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"7","6","-1","Kylian Mbappé","Forward","CENTRE","Paris St-Germain","France","22","France","French, Ligue 1, Forwards","","","https://media.guim.co.uk/6e0ddd936f4b21e5b3abf01e98472e17c0828636/1634_124_1079_1079","cropRatio=1079,1079&size=140,500,1000,1079","https://media.guim.co.uk/eb77264a8e3d9359bc4566720f2c3ad325d7a371/0_234_4961_2976","cropRatio=4961,2976&size=140,500,1000,2000,4961","","Mbappé is obviously a phenomenon. He achieved more before turning 22 than most players achieve in their entire careers, and he is one of the most thrilling players on the planet when on song. And this year he helped Paris Saint-Germain make it – at last - past the quarter-finals of the Champions League. Yet he has slipped one place in the 100. Maybe that is because, awesome though he is, he has not been as brilliant as he could have been this year. Not consistently. He flopped in the Champions League final</a> and there have been times this year when he has seemed to rely too much on his speed, in contrast with previous years when his exceptional awareness and decision-making were among the qualities that made him so exciting. His development stalled a tad. Very few players merit both an A grade and the comment ""could do better"". Perhaps a move from PSG would stimulate him?","Paul Doyle","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"8","5","-3","Mohamed Salah","Forward","RIGHT","Liverpool","England","28","Egypt","Other nationalities, Premier League, Forwards","","","https://media.guim.co.uk/70e488b25bedb7c4397deb755e50343d7a1f081e/1672_0_2172_2172","cropRatio=2172,2172&size=140,500,1000,2000,2172","https://media.guim.co.uk/faa2b736ade0e84aa023893728cd7cd52a3a465b/0_122_3600_2159","cropRatio=3600,2159&size=140,500,1000,2000,3600","","The Egypt international makes the list for the sixth year in succession. His output remains phenomenally consistent too. After a slow start to last season, at least by his elevated standards, Salah hit his productive stride and rarely wavered to help <a href=""https://www.theguardian.com/football/2020/jun/25/how-liverpool-became-premier-league-champions"">Liverpool finally claim the Premier League title</a> with 19 goals and 10 assists. He ended the campaign as the first Liverpool player since Michael Owen 17 years previously to score 20 goals or more in all competitions in three consecutive seasons. There has been no let-up this term either, and his 11 league goals by 16 December have been invaluable to a team defending their title while suffering a procession of injuries in defence. Salah became Liverpool's all-time leading goalscorer in the Champions League with his 22nd in the competition against Midtjylland and has scored a truly remarkable 108 goals in 172 appearances for the club at the time of writin","Andy Hunter","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"9","31","22","Neymar","Forward","CENTRE","Paris St-Germain","France","28","Brazil","Brazilian, Ligue 1, Forwards","","","https://media.guim.co.uk/d6631c4513cd89d7a7e0712944891fa6bbe4f875/1145_79_1297_1297","cropRatio=1297,1297&size=140,500,1000,1297","https://media.guim.co.uk/7824f30b00c0762007eb6d508824ca0b8c023b61/0_304_4559_2736","cropRatio=4559,2736&size=140,500,1000,2000,4559","","To concentrate on his irritating habits is to detract from the enjoyment of all the wonderful, courageous things that Neymar does – and he does them not simply to amuse himself but, increasingly, to help his team. He rose 22 places in the top 100 because this was the year when he mostly put his extraordinary skills to the service of the PSG collective, graduating from brand ambassador to genuine leader on the pitch. Teammates give him the ball no matter how many opponents are around him because they can count on him to create or score a goal even where there appears to be no chance. He did not shine <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a> but he played a key role in them getting there at last and in December inspired another advance to the knockout stages by showing Manchester United what a world-class player is. He remains precious to his country, too, closing in on Pelé's all-time scoring record for Brazil.","Paul Doyle","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"10","2","-8","Virgil van Dijk","Defender","CENTRE","Liverpool","England","29","Netherlands","Other nationalities, Premier League, Defenders","","","https://media.guim.co.uk/1dca58b87f4ceb226ed37e31172fb391cc82dacd/519_141_2170_2170","cropRatio=2170,2170&size=140,500,1000,2000,2170","https://media.guim.co.uk/719528873f80acc6491b2ec9284c4fe4eddce901/126_323_2713_1629","cropRatio=2713,1629&size=140,500,1000,2000,2713","","Still the best defender in the world but no longer the second best player on our list, which does not come as a huge surprise. Partly because it was impossible for Van Dijk to replicate the incredible form and consistency he showed in 2019 and partly because he has been sidelined since <a href=""https://www.theguardian.com/football/2020/oct/18/liverpool-virgil-van-dijk-cruciate-injury-facing-surgery-and-long-absence-knee"">suffering a serious knee injury</a> in October’s Merseyside derby. A case of out of action, out of mind, but Van Dijk nevertheless deserves his place in the top 10 having been an ever-present and crucial part of a Liverpool team that <a href=""https://www.theguardian.com/football/2020/jun/25/how-liverpool-became-premier-league-champions"">deservedly won the Premier League title</a> this year, as well as again proving an important and impressive figure for his country.","Sachin Nakrani","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"11","37","26","Joshua Kimmich","Midfielder","CENTRE","Bayern Munich","Germany","25","Germany","German, Bundesliga, Midfielders","","","https://media.guim.co.uk/ee4f72cd2d48ff9452fc0c2be1e8b07a16b1159e/1846_205_1051_1052","cropRatio=1051,1052&size=500,1000,1051","https://media.guim.co.uk/929479d4241ebd1c99b7f0356b6fff1f907a570f/0_144_5184_3110","cropRatio=5184,3110&size=140,500,1000,2000,5184","","Another player who found clarity and contentment at Bayern under Hansi Flick. Some will say the ultra-reliable Kimmich never needed that, but Flick’s decree that he is a midfielder rather than a right-back helped Kimmich elevate his game and teases the frightening prospect that this team totem will become even better in years to come. His intelligence and grit are unmatched, plus he scored the sublime winner at Dortmund in May that all but sealed Bayern’s latest Bundesliga title. True to form he played a star turn <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a> – filling in as a right-back, of course. ","Andy Brassell","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"12","20","8","Karim Benzema","Forward","CENTRE","Real Madrid","Spain","33","France","French, Bundesliga, Forwards","","","https://media.guim.co.uk/5f791de13065c81d7a86b1824a3d84500f822e0d/2158_45_866_866","cropRatio=866,866&size=140,500,866","https://media.guim.co.uk/c62ea06b76374a174e835de16296b3baa7b7b27a/0_83_5568_3341","cropRatio=5568,3341&size=140,500,1000,2000,5568","","“That’s how I see football,” Benzema said after he produced <a href=""https://www.theguardian.com/football/blog/2020/jun/29/karim-benzema-real-madrid-backheel-sums-up-la-liga-weekend-of-beauty-and-brilliance"">a gorgeous backheeled assist against Espanyol</a>. And now it seems others see football his way too. They have taken a long time; after a decade at Real Madrid, much of it spent facilitating Cristiano Ronaldo, it feels like Benzema is only now getting fully recognised. Not so much a No 9 as a nine and a half, an all-round player rather than out-and-out goalscorer, he was top scorer and the key attacker in Real Madrid’s league title success. “Anyone who likes football likes Karim,” Zinedine Zidane says. Bonjour, Didier.","Sid Lowe","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"13","36","23","Sergio Ramos","Defender","CENTRE","Real Madrid","Spain","34","Spain","Spanish, Bundesliga, Defenders","","","https://media.guim.co.uk/4134b7dfbb522eafccbd6becabe8c0b67dac54c2/1179_78_743_743","cropRatio=743,743&size=140,500,743","https://media.guim.co.uk/fc4905adc2447ab02efa6784c861f49084731e0b/0_61_2704_1622","cropRatio=2704,1622&size=140,500,1000,2000,2704","","Up 23 places, the second highest defender on this list, and he won’t be happy to find anyone above him. Ramos is an almost cartoonish footballer, all wild and epic. At 34, he should be getting worse, but there’s no sign of that and if you want a measure of his significance, just take a look at Real Madrid without him. Have a listen, in fact: even when he’s not playing, his is the voice you can hear at Valdebebas, shouting from the empty stands. He led them to the league title last season and is closing in on the all-time, worldwide record for international caps.","Sid Lowe","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"14","174","Re-entry","Thomas Müller","Forward","CENTRE","Bayern Munich","Germany","31","Germany","German, Bundesliga, Forwards","","","https://media.guim.co.uk/8b4850464cb74fe513ba45c7d362852ef33fdee8/1156_65_806_806","cropRatio=806,806&size=140,500,806","https://media.guim.co.uk/695eff6aa590916284bf772a186b14e1da4fb2aa/512_119_2082_1249","cropRatio=2082,1249&size=140,500,1000,2000,2082","","For years, Müller has been underestimated outside Germany (and inside too to an extent, with Jogi Löw removing him from national team consideration), with many wondering how to define what exactly it is that the Raumdeuter (""space interpreter"") does. Niko Kovac certainly struggled to find Müller pride of place in his team, but Hansi Flick has allowed him to be himself to spectacular effect. The 31-year-old has chipped in with goals but piled on the assists, with 21 in the Bundesliga alone last term. He is also part of Bayern’s soul – combative, dogged, refusing to be beaten and full of craft. ","Andy Brassell","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
"15","113","Re-entry","Manuel Neuer","Goalkeeper","CENTRE","Bayern Munich","Germany","34","Germany","German, Bundesliga, Goalkeepers","","","https://media.guim.co.uk/79a05378bffcbfcfd882d7a722884be76736c812/2285_15_1614_1614","cropRatio=1614,1614&size=140,500,1000,1614","https://media.guim.co.uk/d506a525df7db9be3a2564bc97285de9eb8957ff/268_193_1567_940","cropRatio=1567,940&size=140,500,1000,1567","","The year began with heated debate in Germany over whether Neuer should even be Germany’s first-choice goalkeeper, with Marc-André ter Stegen having matured into Barcelona’s most important player after Lionel Messi. Bayern’s Champions League quarter-final demolition of Barça shouldn’t be taken as a turning point or proof of respective quality, though. Neuer’s revival this year is all his own doing, with the post-pandemic resolution of his contract standoff with Bayern clearing his mind and restoring him to his 2014 peak after a couple of indifferent years by his standards. He was key <a href=""https://www.theguardian.com/football/2020/aug/23/bayern-munich-paris-saint-germain-psg-champions-league-final-match-report"">in the Champions League final</a>, too.","Andy Brassell","TD","JA","","","Top 100 footballers 2017:the best talents in the world","The Guardian picks the best prospect from each club born between 1 September 2000 and 31 August 2001, an age band known as first-year scholars. Check the progress of our <a href=""https://www.theguardian.com/football/ng-interactive/2016/oct/04/next-generation-2016-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2016 class</a> | <a href=""https://www.theguardian.com/football/ng-interactive/2015/oct/06/next-generation-2015-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2015</a> | <a href=""https://www.theguardian.com/football/blog/ng-interactive/2014/oct/13/next-generation-2014-20-of-the-best-talents-at-premier-league-clubs"" target=""_new"">2014</a>","<a href=""https://www.theguardian.com/football"" target=""_new"">Football</a>",""
